Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE100383	"Type I IFNs and TNF Cooperatively Reprogram Epigenomic Landscape of Human Macrophages to Promote Inflammatory Activation"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	100		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100383/suppl"	28825701		"Lionel Ivashkiv"	"Jun 23, 2017"
GSE100392	"Altered gene expression by C1orf106 in papillary thyroid cancer cells"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	4		"XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100392/suppl"		SRP110199	"Weiwei Liang"	"Jun 23, 2017"
GSE100409	"Real-time quantitative PCR analysis of primary human dermal fibroblasts_comparing two young samples (fibroblasts isolated from a 5 month old vs. those from a 1 year old)"	"Expression profiling by RT-PCR"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100409/suppl"	28765155		"Kranti A Mapuskar"	"Jun 23, 2017"
GSE100430	"Pharmacodynamics, Safety, and Clinical Efficacy of AMG 811, a Human Anti-Interferon-γ Antibody, in Patients With Discoid Lupus Erythematosus [blood]"	"Expression profiling by array"	"Homo sapiens"	145		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100430/suppl"	28118537		"Dan Baker"	"Jun 23, 2017"
GSE100431	"Pharmacodynamics, Safety, and Clinical Efficacy of AMG 811, a Human Anti-Interferon-γ Antibody, in Patients With Discoid Lupus Erythematosus"	"Expression profiling by array"	"Homo sapiens"	205		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100431/suppl"	28118537		"Dan Baker"	"Jun 23, 2017"
GSE77128	"EPCR Expression Defines the Most Primitive Subset of Human HSPC and Is Required for Their In Vivo Activity"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77128/suppl"	28408459	SRP068773	"Guy Sauvageau"	"Jun 22, 2017"
GSE80655	"RNA-sequencing of human post-mortem brain tissues"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	281		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80655/suppl"	28754123	SRP073813	"Kevin Bowling"	"Jun 22, 2017"
GSE83611	"Field cancerized fibroblasts in primary culture, P2"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	9		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83611/suppl"		SRP076912	"Kristina Antonia Trujillo"	"Jun 22, 2017"
GSE83641	"Gene expression in HPAECs with ERG and FLI1 knockdown"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83641/suppl"			"Andrés Bretón"	"Jun 22, 2017"
GSE83642	"Effect of dimethyl fumarate (DMF) and transforming growth factor (TGFb) on gene expression in dermal fibroblasts"	"Expression profiling by array"	"Homo sapiens"	12		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83642/suppl"			"Andrés Bretón"	"Jun 22, 2017"
GSE92698	"Precipitation of mRNAs by Ago2 and phosphorylation mutants"	"Expression profiling by array"	"Homo sapiens"	14		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92698/suppl"	28645918		"Gunter Meister"	"Jun 22, 2017"
GSE100284	"Whole-genome DNA methylation profiling of 152 pediatric AML patients"	"Methylation profiling by genome tiling array"	"Homo sapiens"	152		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100284/suppl"	28892045		"Nicole Larmonie"	"Jun 22, 2017"
GSE100338	"Expression profiling of lncRNAs, miRNAs and mRNAs and their differential expression in leiomyoma using next generation RNA sequencing"	"Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100338/suppl"	28587571	SRP110081	"Tsai-Der Chuang"	"Jun 22, 2017"
GSE83816	"Differentially expressed genes during pancreatic bud differentiation in cellular aggregates"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	9		"TSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83816/suppl"		SRP077504	"Akira Watanabe"	"Jun 21, 2017"
GSE83836	"TTF-1-regulated miR-532-5p targets KRAS and MKL2 oncogenes and induces apoptosis in lung adenocarcinoma [pts]"	"Expression profiling by array"	"Homo sapiens"	75		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83836/suppl"	28474808		"Takashi Takahashi"	"Jun 21, 2017"
GSE83837	"TTF-1-regulated miR-532-5p targets KRAS and MKL2 oncogenes and induces apoptosis in lung adenocarcinoma [cell line]"	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83837/suppl"	28474808		"Takashi Takahashi"	"Jun 21, 2017"
GSE83838	"TTF-1-regulated miR-532-5p targets KRAS and MKL2 oncogenes and induces apoptosis in lung adenocarcinoma [rt-pcr]"	"Expression profiling by RT-PCR"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83838/suppl"	28474808		"Takashi Takahashi"	"Jun 21, 2017"
GSE83839	"TTF-1-regulated miR-532-5p targets KRAS and MKL2 oncogenes and induces apoptosis in lung adenocarcinoma"	"Expression profiling by array;Expression profiling by RT-PCR"	"Homo sapiens"	99		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83839/suppl"	28474808		"Takashi Takahashi"	"Jun 21, 2017"
GSE83994	"miRNA expression profiling divides follicular dendritic cell sarcomas into two groups, related to fibroblasts and myopericytomas or Castleman's disease"	"Non-coding RNA profiling by array"	"Homo sapiens;synthetic construct"	58		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83994/suppl"	27423414		"Claudia Döring"	"Jun 21, 2017"
GSE84004	"Integrative omics analysis in HCC samples [lncRNA expression]"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	76		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84004/suppl"			"Jin Song"	"Jun 21, 2017"
GSE84005	"Integrative omics analysis in HCC samples [mRNA expression]"	"Expression profiling by array"	"Homo sapiens"	76		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84005/suppl"			"Jin Song"	"Jun 21, 2017"
GSE84006	"Integrative omics analysis in HCC samples"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	152		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84006/suppl"			"Jin Song"	"Jun 21, 2017"
GSE96981	"Multilineage communication regulates human liver bud self-organization from pluripotency II"	"Expression profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	741		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96981/suppl"	28614297	SRP102427	"Gray Camp"	"Jun 21, 2017"
GSE100224	"Transcritome analysis of herbal extract WCE mediated gene signature in 22Rv1 cells"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100224/suppl"			"Chin-Hsien Tsai"	"Jun 21, 2017"
GSE100227	"The Australian Mammographic Density Twins and Sisters Study - DNA methylation data"	"Methylation profiling by array"	"Homo sapiens"	479		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100227/suppl"	26527295;28814741;29456763		"John Hopper"	"Jun 21, 2017"
GSE100271	"Rader HHDL and BioBank genotyping"	"SNP genotyping by SNP array;Genome variation profiling by SNP array"	"Homo sapiens"	19		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100271/suppl"	28825717		"Sumeet Khetarpal"	"Jun 21, 2017"
GSE46234	"Expression data from human pancreatic tissue from healthy subjects and pancreatic ductal adenocarcinoma patients"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46234/suppl"			"Helge Ræder"	"Jun 20, 2017"
GSE63232	"Effect of KCNJ2 overexpression on gene expression profile in human iPS cell-derived cardiomyocytes"	"Expression profiling by array"	"Homo sapiens"	2		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63232/suppl"	28615142		"Yuji Nakai"	"Jun 20, 2017"
GSE80523	"Expression profile of small nucleolar RNA (snoRNA) in acute myeloid leukemia."	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	78		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80523/suppl"	28650479	SRP073660	"Christian Rohde"	"Jun 20, 2017"
GSE80581	"Identification of Amino Enhancer of Split (AES) and DDX21 binding snoRNAs by RIP-Seq."	"Expression profiling by high throughput sequencing"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80581/suppl"	28650479	SRP073719	"Christian Rohde"	"Jun 20, 2017"
GSE80582	"Nascent RNA-seq in Kasumi-1 cells"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80582/suppl"	28650479	SRP073721	"Christian Rohde"	"Jun 20, 2017"
GSE80602	"AML1-ETO induces leukemia via C/D box snoRNA/RNPs."	"Expression profiling by array;Non-coding RNA profiling by high throughput sequencing;Expression profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	94		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80602/suppl"	28650479		"Christian Rohde"	"Jun 20, 2017"
GSE83501	"Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	219		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83501/suppl"	28737769	SRP076780	"Andrew Vaughan"	"Jun 20, 2017"
GSE83505	"Local lung hypoxia determines epithelial fate decisions during alveolar regeneration"	"Expression profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	223						"Andrew Vaughan"	"Jun 20, 2017"
GSE83519	"Identification of genes with altered expression in head and neck cancer"	"Expression profiling by array"	"Homo sapiens"	44		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83519/suppl"			"Daoud Sie"	"Jun 20, 2017"
GSE83647	"Aneuploidy triggers an immune response"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83647/suppl"		SRP076983	"Charles Arthur Whittaker"	"Jun 20, 2017"
GSE83882	"Simultaneous measurement of chromatin accessibility, DNA methylation, and nucleosome phasing in single cells"	"Methylation profiling by high throughput sequencing"	"Homo sapiens"	30		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83882/suppl"	28653622	SRP077587	"Sebastian Pott"	"Jun 20, 2017"
GSE88883	"Breast cancer risk factors are associated with DNA methylation in non-diseased breast tissue independent of cell type"	"Methylation profiling by array"	"Homo sapiens"	100		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88883/suppl"	28693600		"Kevin Crowley Johnson"	"Jun 20, 2017"
GSE90060	"Endometrial methylome of healthy women during the transition from pre-receptive to receptive phase"	"Methylation profiling by array"	"Homo sapiens"	34		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90060/suppl"	28634372		"Triin Laisk-Podar"	"Jun 20, 2017"
GSE90926	"TCF7L1 knockdown in pancreatic cancer"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90926/suppl"		SRP094619	"David Dawson"	"Jun 20, 2017"
GSE93624	"Profiling of Ileal Transcriptome in Pediatric Crohn Disease"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	245		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93624/suppl"	28805827	SRP096757	"Urko M. Marigorta"	"Jun 20, 2017"
GSE95721	"Expression profile of small nucleolar RNA (snoRNA) in human acute myeloid leukemia with different leukemia stem cell frequency"	"Non-coding RNA profiling by high throughput sequencing"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95721/suppl"	28650479	SRP101435	"Christian Rohde"	"Jun 20, 2017"
GSE97884	"Assessing the developmental potential of human pluripotent stem cells using Pluritest"	"Expression profiling by array"	"Homo sapiens"	32		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97884/suppl"			"Paul Gokhale"	"Jun 20, 2017"
GSE97963	"Real-Time PCR analysis of Embryoid Body differentiation of Human pluripotent stem cells"	"Expression profiling by RT-PCR"	"Homo sapiens"	575		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97963/suppl"			"Paul Gokhale"	"Jun 20, 2017"
GSE97964	"Assessing the developmental and malignant potential of human pluripotent stem cells"	"Expression profiling by array;Expression profiling by RT-PCR;Expression profiling by high throughput sequencing"	"Homo sapiens"	644						"Paul Gokhale"	"Jun 20, 2017"
