Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE34205	"Transcriptional profile of PBMCs in patients with acute RSV or Influenza infection"	"Expression profiling by array"	"Homo sapiens"	101		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34205/suppl"	22398282		"Damien Chaussabel"	"Mar 12, 2012"
GSE35168	"Transcriptional profiling of  Lung H1299-BRG1 inducible cells"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35168/suppl"	22407764;24362264		"Manel Esteller"	"Mar 12, 2012"
GSE28029	"MicroRNAs Associated with Metastatic Prostate Cancer"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28029/suppl"	21980368		"Yuzhuo Wang"	"Mar 11, 2012"
GSE31681	"Human cumulus cells"	"Expression profiling by array"	"Homo sapiens"	24		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31681/suppl"	22087263		"Said Assou"	"Mar 10, 2012"
GSE35412	"Identification and pathway analysis of microRNAs with no previous involvement in breast cancer.  "	"Other"	"Homo sapiens"	75		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35412/suppl"	22438871		"Alfredo Hidalgo-Miranda"	"Mar 10, 2012"
GSE36380	"Methylation profiling in colorectal cancer"	"Methylation profiling by genome tiling array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36380/suppl"	23747112		"Myung Soon Kim"	"Mar 10, 2012"
GSE36389	"Identification of the differences between expression patterns of kinin-dependent genes in endometrial cancer"	"Expression profiling by array"	"Homo sapiens"	20		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36389/suppl"			"Urszula Mazurek"	"Mar 10, 2012"
GSE36390	"Comparison of expression microarray data and somatic mutation signature in primary HCC"	"Expression profiling by array"	"Homo sapiens"	7		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36390/suppl"	22634756		"Tatsuhiro Shibata"	"Mar 10, 2012"
GSE36406	"Microarray analysis of Epidermolysis bullosa simplex-mottled pigmentation"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36406/suppl"			"Catherine Laprise"	"Mar 10, 2012"
GSE18096	"Identifying the molecular signature of the t(12;14) subgroup of uterine leiomyomata using a paired analysis"	"Expression profiling by array"	"Homo sapiens"	27		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18096/suppl"	22343407		"Jennelle Hodge"	"Mar 09, 2012"
GSE25202	"microRNA alterations associated to clinical response in advanced stage ovarian cancer patients (training set)"	"Non-coding RNA profiling by array"	"Homo sapiens"	55		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25202/suppl"	22246208		"Loris De Cecco"	"Mar 09, 2012"
GSE25203	"microRNA alterations associated to clinical response in advanced stage ovarian cancer patients (test set)"	"Non-coding RNA profiling by array"	"Homo sapiens"	30		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25203/suppl"	22246208		"Loris De Cecco"	"Mar 09, 2012"
GSE25204	"microRNA alterations associated to clinical response in advanced stage ovarian cancer patients"	"Non-coding RNA profiling by array"	"Homo sapiens"	130				22246208		"Loris De Cecco"	"Mar 09, 2012"
GSE31003	"FOXA1 actively represses the molecular phenotype of basal breast cancers."	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31003/suppl"	22391567		"Gina Sizemore"	"Mar 09, 2012"
GSE31193	"A Robust Induction of  Type III Interferons and Chemokines Defines a Unique Pattern of Hepatic Innate Immunity in Response to Hepatitis C Virus Infection"	"Expression profiling by array"	"Homo sapiens"	15	GDS4390	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31193/suppl"	22248663		"WeiPing Chen"	"Mar 09, 2012"
GSE31264	"Primary human hepatocytes treated with IFNalpha and IL28B"	"Expression profiling by array"	"Homo sapiens"	18		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31264/suppl"	22248663		"WeiPing Chen"	"Mar 09, 2012"
GSE34007	"Hypoxia-induced modulation of gene expression in human adipocytes - A microarray study"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34007/suppl"	22352407		"Fei Ling Lim"	"Mar 09, 2012"
GSE34785	"Genome-wide assay of Vezf1 and RNA Polymerase II binding"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	9		"WIG"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34785/suppl"	22308494	SRP010580	"Kevin Brick"	"Mar 09, 2012"
GSE35296	"The human pancreatic islet transcriptome: impact of pro-inflammatory cytokines"	"Expression profiling by high throughput sequencing"	"Homo sapiens"	10		"BED;GTF"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35296/suppl"	22412385	SRP010483	"Guy Bottu"	"Mar 09, 2012"
GSE36349	"Integrated genome-wide analysis of transcription factor occupancy, RNA polymerase II binding and steady-state RNA levels identify differentially regulated functional gene classes"	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	12		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36349/suppl"	21914722	SRP011385	"Michal Mokry"	"Mar 09, 2012"
GSE16476	"Integrated bioinformatic and wet-lab approach to identify potential oncogenic networks in neuroblastoma"	"Expression profiling by array"	"Homo sapiens"	88		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16476/suppl"	22367537;23908688;23042116;25315710		"Rogier Versteeg"	"Mar 08, 2012"
GSE17315	"mRNA expression upon reconstitution of miR-130a, miR-203 and miR-205 in prostate cancer cell line LNCaP"	"Expression profiling by array"	"Homo sapiens"	12		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17315/suppl"	22391564		"Kristin Reiche"	"Mar 08, 2012"
GSE17317	"miRNA expression in LNCaP, PC3, Du-145 and RWPE-1 cell lines"	"Non-coding RNA profiling by array"	"Homo sapiens"	12		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17317/suppl"	22391564		"Kristin Reiche"	"Mar 08, 2012"
GSE20672	"Identification of novel sub-microscopic copy number aberrations in adult acute myeloid leukemia"	"Genome variation profiling by SNP array;SNP genotyping by SNP array"	"Homo sapiens"	112		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20672/suppl"			"Manu Gupta"	"Mar 08, 2012"
GSE22979	"Profiling of direct mRNA targets of miR-130a, miR-203 and miR-205 in prostate cancer cell line LNCaP"	"Expression profiling by array"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22979/suppl"	22391564		"Kristin Reiche"	"Mar 08, 2012"
GSE27636	"Genome wide analysis of Circulating Tumor Cells from Patients with Metastatic Prostate Cancer Reveals Clinically Relevant Aberrations Associated with Castration Resistance"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	25		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27636/suppl"	22373240		"Mark Magbanua"	"Mar 08, 2012"
GSE29921	"Global mRNA expression profiling of HCT116 cells overexpressing miR30a-5p"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29921/suppl"	22287560		"Stephan A Hahn"	"Mar 08, 2012"
GSE35204	"Methylome-wide comparison of human genomic DNA extracted from whole blood and from EBV-transformed lymphocyte cell lines"	"Methylation profiling by genome tiling array"	"Homo sapiens"	210		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35204/suppl"	22378283		"Karolina A Aberg"	"Mar 08, 2012"
GSE35339	"ATRX-mediated chromatin association of histone variant macroH2A1 regulates alpha globin gene expression"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	3		"BED;WIG"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35339/suppl"	22391447	SRP010585	"Emily Bernstein"	"Mar 08, 2012"
GSE36047	"Role of macrophages in invadopodia formation"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36047/suppl"			"khemraj singh baghel"	"Mar 08, 2012"
GSE36223	"Molecular defense mechanisms of Barrett's metaplasia estimated by an integrative genomics"	"Expression profiling by array"	"Homo sapiens"	46		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36223/suppl"	17415542		"Krzysztof Goryca"	"Mar 08, 2012"
GSE36305	"DNA unmethylome profiling via covalent capture of CpG sites"	"Other"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36305/suppl"	23877302		"sun-chong wang"	"Mar 08, 2012"
GSE36314	"Human prolactinoma"	"Expression profiling by array"	"Homo sapiens"	7	GDS4859	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36314/suppl"	22635680		"Yunguang Tong"	"Mar 08, 2012"
GSE36335	"Distinct tumorigenic pathways within hereditary nonpolyposis colorectal cancer"	"Expression profiling by array"	"Homo sapiens"	132		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36335/suppl"	23951239		"Mev Dominguez"	"Mar 08, 2012"
GSE17362	"miRNA expression, mRNA expression upon miRNA reconstitution, and direct mRNA target identification in prostate cancer cell lines"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	48		"CEL;GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17362/suppl"	22391564		"Kristin Reiche"	"Mar 07, 2012"
GSE25882	"Genome-wide maps of chromatin state in NCCIT cells"	"Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing"	"Homo sapiens"	14		"BED;SAM;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25882/suppl"	22421545	SRP005129	"Inkyung Jung"	"Mar 07, 2012"
GSE32141	"Expression analysis LPS stimulated THP-1 cells in four paired samples"	"Expression profiling by array"	"Homo sapiens"	8		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32141/suppl"	22384210		"Lasse Folkersen"	"Mar 07, 2012"
GSE32324	"ChIP-seq analysis LPS stimulated THP-1 cells"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	18		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32324/suppl"	22384210		"Lasse Folkersen"	"Mar 07, 2012"
GSE32325	"Expression and ChIP-seq analysis LPS stimulated THP-1 cells"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	26		"BED;CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32325/suppl"	22384210		"Lasse Folkersen"	"Mar 07, 2012"
GSE33432	"Genome-wide expression profiling of T6PNE cells in the presence and absence of HNF4α antagonist BIM5078"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33432/suppl"	22840769		"Roy M Williams"	"Mar 07, 2012"
GSE36287	"Expression data from primary human keratinocytes exposed to cytokines in vitro (IL-4, IL-13, IL-17A, IFN-alpha, IFN-gamma, TNF)"	"Expression profiling by array"	"Homo sapiens"	24	GDS4601	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36287/suppl"	22479649		"William R Swindell"	"Mar 07, 2012"
GSE28133	"Transcriptomic analysis of human retinal detachment (RD) reveals both inflammation and photoreceptor death"	"Expression profiling by array"	"Homo sapiens"	38		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28133/suppl"	22174898		"Wolfgang Raffelsberger"	"Mar 06, 2012"
GSE28628	"Identification of new genes involved in human adipogenesis and fat storage"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28628/suppl"	22384002		"Silvia Rueberg"	"Mar 06, 2012"
GSE30597	"Opposing effects of estrogen and Runx2 on breast cancer cell proliferation: identification of a reciprocally-regulated gene signature with clinical prognostic value."	"Expression profiling by array"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30597/suppl"	22147940		"Nyam-Osor Chimge"	"Mar 06, 2012"
GSE32250	"Epigenetic Disruption of Cadherin-11 in human cancer metastasis"	"Methylation profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32250/suppl"	22374749		"Manel Esteller"	"Mar 06, 2012"
GSE36256	"Differential expression of miRNA in stretched rat alveolar epithelial cells"	"Non-coding RNA profiling by array"	"Homo sapiens;Human alphaherpesvirus 1;Human betaherpesvirus 5;Human gammaherpesvirus 4;Human gammaherpesvirus 8;Human immunodeficiency virus 1;Human polyomavirus 1;JC polyomavirus;Macaca mulatta polyomavirus 1;Murid betaherpesvirus 1;Murid gammaherpesvirus 4;Mus musculus;Rattus norvegicus"	12		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36256/suppl"	22537220		"Nadir Yehya"	"Mar 06, 2012"
GSE27681	"RNA-Seq Quantification of the Transcriptome of Genes Expressed in the Small Airway Epithelium of Nonsmokers and Smokers"	"Expression profiling by array"	"Homo sapiens"	27		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27681/suppl"	22375630		"Yael Strulovici-Barel"	"Mar 05, 2012"
GSE28005	"Charaterization of the initial molecular events of adipose tissue development and growth during overfeeding in humans"	"Expression profiling by array"	"Homo sapiens"	38		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28005/suppl"	22162470		"emmanuelle meugnier"	"Mar 05, 2012"
GSE30815	"CDK8 knockdown in HT-29 human colon cancer cells"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30815/suppl"	22345154		"Adam S Adler"	"Mar 05, 2012"
GSE30817	"CDK8 knockdown in HT-29 cells and CDK8 & MED12 knockdown in R1 cells"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	33		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30817/suppl"	22345154		"Adam S Adler"	"Mar 05, 2012"
GSE27976	"Calvarial osteoblast transcriptome analysis identifies genetic targets and extracellular matrix-mediated focal adhesion as potential biomarkers for single-suture craniosynostosis"	"Expression profiling by array"	"Homo sapiens"	249		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27976/suppl"	22028906;23073384		"James William MacDonald"	"Mar 04, 2012"
GSE20098	"Human CD4+ T-cell transcriptome in early arthritis"	"Expression profiling by array"	"Homo sapiens"	173		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20098/suppl"	22532634		"Simon Cockell"	"Mar 03, 2012"
GSE27654	"Secreted STIP1 stimulates cell proliferation of ovarian cancer through SMAD signaling pathways"	"Expression profiling by array"	"Homo sapiens"	4		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27654/suppl"	22884369		"Yun-Shien Lee"	"Mar 03, 2012"
GSE34800	"A new subtype of bone sarcoma defined by BCOR-CCNB3 gene fusion"	"Expression profiling by array"	"Homo sapiens"	14		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34800/suppl"	22387997		"Franck Tirode"	"Mar 03, 2012"
GSE36216	"DNA Methylation Profiling Defines Clinically Relevant Biological Subsets of Non-small Cell Lung Cancer"	"Methylation profiling by array"	"Homo sapiens"	75				22261801		"David S Shames"	"Mar 03, 2012"
GSE36217	"Comparison of systematic sequencing errors using spike-in standards"	"Other"	"Homo sapiens"	6		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36217/suppl"	22859977	SRP011192	"Justin M Zook"	"Mar 03, 2012"
GSE36221	"Airway gene expression is dynamic with corticosteroid treatment and reflects disease activity"	"Expression profiling by array"	"Homo sapiens"	221		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36221/suppl"	23925644		"Maarten van den Berge"	"Mar 03, 2012"
GSE22025	"Progesterone-regulated genes in immune cells: Regulation of T cell genes by progesterone"	"Expression profiling by array"	"Homo sapiens"	12		"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22025/suppl"	21768398		"Chang Kim"	"Mar 02, 2012"
GSE26192	"Genomic characterization implicates iAMP21 as a primary genetic event in childhood B-cell precursor acute lymphoblastic leukaemia"	"Genome variation profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26192/suppl"	21527530		"Vikki Rand"	"Mar 02, 2012"
GSE27900	"Gene expression analysis of mesenchymal stem cells (MSC), osteoblasts and the U2OS (osteosarcoma) cell line"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27900/suppl"	22391556		"hari easwaran"	"Mar 02, 2012"
GSE35573	"ChIP-seq analysis of H3K4Me3- and H3K27Me3-marked chromatin in mesenchymal stem cells (MSCs), osteoblasts derived from MSCs and the osteosarcoma cell line U2OS"	"Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	9		"BED;GFF3"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35573/suppl"	22391556	SRP010773	"hari easwaran"	"Mar 02, 2012"
GSE35576	"Gene expression and ChIP-seq analyses of mesenchymal stem cells, osteoblasts and the U2OS osteosarcoma cell line"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	17		"BED;GFF3;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35576/suppl"	22391556		"hari easwaran"	"Mar 02, 2012"
GSE36207	"Translatome of Jurkat cells: control vs. stress treatment."	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36207/suppl"	22574127		"Ivan Ventoso"	"Mar 02, 2012"
GSE26820	"Expression data from GFAP-negative LC cells exposed to 24 hours of hypoxia"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26820/suppl"	22427556		"Ruaidhri Patrick Kirwan"	"Mar 01, 2012"
GSE27459	"Human cerebral cortex DNA methylation by MeDIP-Chip"	"Methylation profiling by genome tiling array"	"Homo sapiens"	3		"PAIR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27459/suppl"	22899776		"Jinkai Wang"	"Mar 01, 2012"
GSE27461	"Genome-wide DNA methylation analyses in the brain reveal four differentially methylated regions between humans and non-human primates"	"Methylation profiling by genome tiling array"	"Homo sapiens;Macaca mulatta"	6		"PAIR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27461/suppl"	22899776		"Jinkai Wang"	"Mar 01, 2012"
GSE27534	"Human breast cancer MCF-7 cells: SN38-selected cells"	"Expression profiling by array"	"Homo sapiens"	1		"GPR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27534/suppl"			"Satoshi Kondo"	"Mar 01, 2012"
GSE29253	"Gene expression changes upon Dot1L knockdown and Dot1L inhibitor treatment during reprogramming"	"Expression profiling by array"	"Homo sapiens"	26		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29253/suppl"	22388813		"Tamer T Onder"	"Mar 01, 2012"
GSE29641	"Hypoxia transcriptomic time-series data in three different cancer cell lines"	"Expression profiling by array"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29641/suppl"	22356756		"Maud HW Starmans"	"Mar 01, 2012"
GSE30572	"Role of miRNAs in the neurogenesis of human neural stem cells"	"Non-coding RNA profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30572/suppl"	23054963		"jing liu"	"Mar 01, 2012"
GSE32062	"Immune-activation as a therapeutic direction for patients with high-risk ovarian cancer based on gene expression signature (1)"	"Expression profiling by array"	"Homo sapiens"	270		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32062/suppl"	22241791		"Kosuke Yoshihara"	"Mar 01, 2012"
GSE32063	"Immune-activation as a therapeutic direction for patients with high-risk ovarian cancer based on gene expression signature (2)"	"Expression profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32063/suppl"	22241791		"Kosuke Yoshihara"	"Mar 01, 2012"
GSE32066	"Role of SIRT1 in human hepatocellular carcinoma"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32066/suppl"			"JUNGWOO EUN"	"Mar 01, 2012"
GSE32068	"HDAC6 functions as a tumor suppressor by activating caspase-independent autophagic cell death in hepatocarcinogenesis"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32068/suppl"	22392728		"JUNGWOO EUN"	"Mar 01, 2012"
GSE32070	"Aberrant Regulation of HDAC2 Mediates Proliferation of Hepatocellular Carcinoma Cells by Deregulating Expression of G1/S Cell Cycle Proteins"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32070/suppl"	22132221;24448241		"JUNGWOO EUN"	"Mar 01, 2012"
GSE32384	"Identification of molecular pathways involved in oxaliplatin-associated sinusoidal dilatation"	"Expression profiling by array"	"Homo sapiens"	24		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32384/suppl"			"Florent Dumont"	"Mar 01, 2012"
GSE32680	"miR-18a regulates the miRNAs by target  Dicer in Nasopharyngeal carcinoma HK-1 cell."	"Non-coding RNA profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32680/suppl"	23097559		"luo zhaohui"	"Mar 01, 2012"
GSE32906	"Differential expressed miRNAs in Multi-stages and Lymphoid node metastasis of Nasopharyngeal Carcinoma"	"Non-coding RNA profiling by array"	"Homo sapiens"	22		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32906/suppl"	22260379		"luo zhaohui"	"Mar 01, 2012"
GSE33066	"Transcriptional analysis of primary adult human skin cells that express stage-specific embryonic antigen 3 (SSEA-3)"	"Expression profiling by array"	"Homo sapiens"	6		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33066/suppl"			"James A Byrne"	"Mar 01, 2012"
